TIPO,CONTRATACAO,LOCAL,ESPECIALIDADE
2,rede credenciada,PA MARIA MENDES,GINECOLOGIA CLINICA
2,rede credenciada,PA MARIA MENDES,GINECOLOGIA CLINICA
2,rede credenciada,PA MARIA MENDES,GINECOLOGIA CLINICA
2,rede credenciada,CLIN J ALBUQUERQUE,PEDIATRIA
2,rede credenciada,PA MARIA MENDES,GINECOLOGIA CLINICA
2,rede credenciada,CENTRO MEDICO ESPECIALIDADES,CARDIOLOGIA
2,rede credenciada,CENTRO MEDICO ESPECIALIDADES,GASTROENTEROLOGIA
2,rede credenciada,CLINICA DE PSIQ E PSICOLOGIA,ENDOCRINOLOGIA/METABOLOGIA
2,rede credenciada,CENTRO ONCOLOGICO CABRAL,ONCOLOGIA CLINICA/QUIMIOTERAPIA
2,rede credenciada,ONCOLOGIA AUGUSTO DE LIMA,ONCOLOGIA CLINICA/QUIMIOTERAPIA
2,rede credenciada,CENTRO MEDICO ESPECIALIDADES,CARDIOLOGIA
2,rede credenciada,CENTRO MEDICO ESPECIALIDADES,CARDIOLOGIA
2,rede credenciada,CENTRO ONCOLOGICO CABRAL,ONCOLOGIA CLINICA/QUIMIOTERAPIA
2,rede credenciada,CLINICA WALLIG,GASTROENTEROLOGIA
2,rede credenciada,CLINICA WALLIG,GASTROENTEROLOGIA
2,rede credenciada,CENTRO MEDICO ESPECIALIDADES,CIRURGIA GERAL
2,rede credenciada,CENTRO MEDICO ESPECIALIDADES,GASTROENTEROLOGIA
2,rede credenciada,CLINICA JARDIM DOS ESTADOS,ORTOPEDIA E TRAUMATOLOGIA
2,rede credenciada,CLINICA JARDIM CENTRAL,ORTOPEDIA E TRAUMATOLOGIA
2,rede credenciada,CENTRO MEDICO ESPECIALIDADES,ORTOPEDIA E TRAUMATOLOGIA
2,rede credenciada,CL MARECHAL DEODORO,CARDIOLOGIA
2,rede credenciada,CENTRO MEDICO ESPECIALIDADES,GINECOLOGIA CLINICA
2,rede credenciada,CLINICA WALLIG,PSIQUIATRIA
2,rede credenciada,CENTRO MEDICO ESPECIALIDADES,REUMATOLOGIA
2,rede credenciada,CLINICA E DIAGNOSTICO BARREIRO,UROLOGIA
2,rede credenciada,MAIS SAUDE SANTA EFIGENIA,GINECOLOGIA CLINICA
2,rede credenciada,MAIS SAUDE SANTA EFIGENIA,GINECOLOGIA CLINICA
2,rede credenciada,CLINICA E DIAGNOSTICO BARREIRO,UROLOGIA
2,rede credenciada,MAIS SAUDE SANTA EFIGENIA,MASTOLOGIA
2,rede credenciada,CLINICA E DIAGNOSTICO BARREIRO,UROLOGIA
2,rede credenciada,CLINICA E DIAGNOSTICO BARREIRO,GINECOLOGIA CLINICA
2,rede credenciada,MAIS SAUDE SANTA EFIGENIA,GINECOLOGIA CLINICA
2,rede credenciada,CENTRO MEDICO ESPECIALIDADES,OBSTETRICIA / PRE NATAL
